pc1,pc2,pc3,file_name
4.822407861,-0.137412018,-0.056798911,animal_dog_173.jpg
3.674064222,-0.881791128,-0.563880185,animal_dog_197.jpg
5.237801978,0.010812051,-0.164919791,animal_dog_203.jpg
4.032374334,-0.163830962,0.190508346,animal_dog_213.jpg
5.042955501,-0.252163195,1.12661644,animal_dog_243.jpg
3.103845631,-1.083977094,0.437737719,animal_dog_354.jpg
4.859007976,-0.52057969,0.258515181,animal_dog_37.jpg
5.614760928,0.007983924,0.397681186,animal_dog_371.jpg
3.846044135,-0.151532917,-0.539905522,animal_dog_4.jpg
5.505941237,-0.184410085,0.760879268,animal_dog_480.jpg
5.260754583,0.065014409,0.398176237,animal_dog_501.jpg
5.202022218,-0.088223597,-0.262840836,animal_dog_53.jpg
5.484207984,-0.388568995,0.278235425,animal_dog_535.jpg
5.02051024,-0.254693336,-0.204204017,animal_dog_548.jpg
4.943878234,0.389689374,0.655467091,animal_dog_56.jpg
5.444028934,-0.959435268,0.493147237,animal_dog_589.jpg
5.931747738,-0.281930069,0.933370569,animal_dog_601.jpg
4.757203899,-0.66397464,-0.228169117,animal_dog_615.jpg
5.072607282,-0.600470457,0.451890444,animal_dog_645.jpg
5.695519023,0.050433178,-0.076430747,animal_dog_672.jpg
4.418607203,-0.426970779,-0.13792924,animal_dog_687.jpg
3.813580427,0.969142039,0.018449507,animal_dog_703.jpg
5.88059898,-0.081202579,0.51790256,animal_dog_704.jpg
5.548064858,0.123126394,0.062736509,animal_dog_775.jpg
5.182867695,0.507269844,0.364188273,animal_dog_779.jpg
5.39931209,-0.107486253,0.745308785,animal_dog_783.jpg
5.679569078,0.223179093,0.936771262,animal_dog_98.jpg
4.801234526,-0.242609601,-0.07903769,animal_dog_996.jpg
-3.195504532,-4.775176433,-3.365300311,entertainment_animation_121.jpg
-3.560102139,-4.770387487,-3.004378578,entertainment_animation_186.jpg
-4.257661194,-4.584184349,-3.423788775,entertainment_animation_259.jpg
-4.039323724,-5.067195521,-3.507915162,entertainment_animation_306.jpg
-3.853487581,-4.935644339,-3.052397809,entertainment_animation_324.jpg
